Chemin de la Loge     ;7:06
Bel Air               ;7:07
Hermitage             ;7:08
Coupe-Jarret          ;7:09
Les Hauts de Vienne   ;7:10
Les Grands Prés       ;7:11
Beauregard Le Haut    ;7:14
Beauregard Le Grillet ;7:15
Beauregard            ;7:16
Burgondes             ;7:16
Les Célestes          ;7:20
Gare de Vienne        ;7:22
