Gare de Vienne        ;12:30;17:30
Les Célestes          ;12:32;17:32
Burgondes             ;12:36;17:36
Beauregard            ;12:36;17:36
Beauregard Le Grillet ;12:37;17:37
Beauregard Le Haut    ;12:39;17:39
Les Grands Prés       ;12:42;17:42
Les Hauts de Vienne   ;12:43;17:43
Coupe-Jarret          ;12:44;17:44
Hermitage             ;12:45;17:45
Bel Air               ;12:46;17:46
Chemin de la Loge     ;12:47;17:47
Gare de Vienne        ;12:50;17:51
