Gare de Vienne      ;11:30
Les Célestes        ;11:32
Burgondes           ;11:36
Beauregard          ;11:36
Les Grands Prés     ;11:37
Les Hauts de Vienne ;11:38
Coupe-Jarret        ;11:39
Hermitage           ;11:40
Bel Air             ;11:41
Chemin de la Loge   ;11:42
Gare de Vienne      ;11:46
