Saint Maurice           ;6:13;    ;7:08;7:29;    ;7:55;8:22;    ;9:32;    ;10:44;11:45;     ;     ;     ;     ;     ;13:02;13:39;     ;     ;13:52;     ;15:16;16:10;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:15;     ;     ;     ;19:12;19:47;     ;
Jeu de Paume            ;6:14;    ;7:09;7:31;    ;7:57;8:22;    ;9:33;    ;10:46;11:46;     ;     ;     ;     ;     ;13:03;13:41;     ;     ;13:53;     ;15:18;16:11;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:16;     ;     ;     ;19:13;19:48;     ;
Lycée E.Fitzgerald      ;    ;    ;    ;7:46;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;13:44;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Tuilerie                ;6:15;    ;7:10;    ;    ;7:58;8:24;    ;9:34;    ;10:47;11:47;     ;     ;     ;     ;     ;13:04;     ;     ;     ;13:54;     ;15:19;16:12;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:17;     ;     ;     ;19:14;19:48;     ;
Les Portes de Lyon      ;6:15;    ;7:10;    ;    ;7:59;8:25;    ;9:34;    ;10:48;11:47;     ;     ;     ;     ;     ;13:04;     ;     ;     ;13:54;     ;15:20;16:12;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:17;     ;     ;     ;19:14;19:49;     ;
Collège Grange          ;    ;    ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:07;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:08;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Pasteur                 ;6:16;    ;7:11;    ;    ;8:00;8:26;    ;9:35;    ;10:49;11:48;     ;     ;12:14;     ;     ;13:05;     ;     ;     ;13:55;     ;15:21;16:13;     ;     ;     ;     ;17:15;     ;     ;     ;     ;18:18;     ;     ;     ;19:15;19:49;     ;
Étienne Rey             ;6:16;    ;7:11;    ;    ;8:00;8:27;    ;9:36;    ;10:49;11:49;     ;     ;12:15;     ;     ;13:06;     ;     ;     ;13:56;     ;15:21;16:14;     ;     ;     ;     ;17:16;     ;     ;     ;     ;18:19;     ;     ;     ;19:16;19:50;     ;
Port au Prince          ;6:17;    ;7:12;    ;    ;8:01;8:27;    ;9:36;    ;10:50;11:49;     ;     ;12:16;     ;     ;13:06;     ;     ;     ;13:56;     ;15:22;16:14;     ;     ;     ;     ;17:17;     ;     ;     ;     ;18:19;     ;     ;     ;19:16;19:50;     ;
Gare d'Estressin        ;6:17;    ;7:12;    ;    ;8:01;8:28;    ;9:37;    ;10:50;11:50;     ;     ;12:17;     ;     ;13:07;     ;     ;     ;13:57;     ;15:22;16:15;     ;     ;     ;     ;17:18;     ;     ;     ;     ;18:20;     ;     ;     ;19:17;19:51;     ;
Cité Jardin             ;6:18;    ;7:13;    ;    ;8:02;8:28;    ;9:37;    ;10:51;11:50;     ;     ;12:18;     ;     ;13:07;     ;     ;     ;13:57;     ;15:23;16:15;     ;     ;     ;     ;17:19;     ;     ;     ;     ;18:20;     ;     ;     ;19:17;19:52;     ;
Pierre et Marie Curie   ;6:19;    ;7:14;    ;    ;8:03;8:29;    ;9:38;    ;10:52;11:51;     ;     ;12:19;     ;     ;13:08;     ;     ;     ;13:58;     ;15:24;16:16;     ;     ;     ;     ;17:20;     ;     ;     ;     ;18:21;     ;     ;     ;19:18;19:53;     ;
Centre Social           ;6:19;    ;7:14;    ;    ;8:03;8:29;    ;9:38;    ;10:52;11:51;     ;     ;12:19;     ;     ;13:08;     ;     ;     ;13:58;     ;15:24;16:16;     ;     ;     ;     ;17:20;     ;     ;     ;     ;18:21;     ;     ;     ;19:18;19:53;     ;
Savoie                  ;6:21;    ;7:17;    ;    ;8:04;8:30;    ;9:39;    ;10:53;11:52;     ;     ;12:20;     ;     ;13:09;     ;     ;     ;13:59;     ;15:25;16:17;     ;     ;     ;     ;17:21;     ;     ;     ;     ;18:22;     ;     ;     ;19:19;19:54;     ;
Claude Bernard          ;6:23;    ;7:19;    ;    ;8:04;8:30;    ;9:39;    ;10:53;11:52;     ;     ;12:20;     ;     ;13:09;     ;     ;     ;13:59;     ;15:25;16:17;     ;     ;     ;     ;17:21;     ;     ;     ;     ;18:22;     ;     ;     ;19:19;19:54;     ;
Estressin Z.I.          ;6:24;    ;7:21;    ;    ;8:05;8:31;    ;9:40;    ;10:54;11:53;     ;     ;12:21;     ;     ;13:10;     ;     ;     ;14:00;     ;15:26;16:18;     ;     ;     ;     ;17:22;     ;     ;     ;     ;18:23;     ;     ;     ;19:20;19:55;     ;
Estressin Centre Commercial  ;    ;    ;    ;    ;    ;8:11;8:41;    ;9:48;    ;10:59;12:01;     ;     ;12:26;     ;     ;13:18;     ;     ;     ;14:08;     ;15:31;16:28;     ;     ;     ;     ;17:28;     ;     ;     ;     ;18:33;     ;     ;     ;19:28;19:58;     ;
