Collège Grange;           ;    ;7:08;    ;    ;    ;7:46;8:03;8:52;9:30 ;10:25;11:15;11:40;     ;     ;12:07;     ;     ;     ;13:08;13:31;13:53;14:24;     ;     ;15:49;16:09;     ;     ;     ;17:08;17:44;18:08;18:53;19:28;     
Bon Accueil;              ;    ;7:09;    ;    ;    ;7:48;8:04;8:53;9:31 ;10:26;11:16;11:41;     ;     ;12:09;     ;     ;     ;13:09;13:32;13:54;14:25;     ;     ;15:50;16:10;     ;     ;     ;17:10;17:46;18:09;18:54;19:29;     
Roche Claire              ;6:52;    ;7:05;7:24;7:42;8:17;8:34;9:15;     ;10:49;     ;     ;12:21;12:11;     ;12:36;12:51;13:26;13:31;14:06;     ;14:50;15:18;16:15;16:17;     ;16:50;17:15;17:20;17:52;18:18;18:45;19:16;19:51;20:20
Collonge                  ;6:52;    ;7:05;7:25;7:42;8:17;8:34;9:15;     ;10:49;     ;     ;12:22;12:11;     ;12:37;12:51;13:27;13:31;14:07;     ;14:50;15:18;16:16;16:17;     ;16:50;17:15;17:21;17:52;18:19;18:45;19:17;19:51;20:20
Jean Monnet               ;6:53;    ;7:07;7:26;7:43;8:18;8:35;9:16;     ;10:50;     ;     ;12:23;12:12;     ;12:37;12:52;13:28;13:32;14:07;     ;14:51;15:19;16:16;16:18;     ;16:51;17:16;17:22;17:53;18:20;18:46;19:18;19:52;20:21
Saint Ignace              ;6:54;    ;7:08;7:27;7:44;8:18;8:35;9:16;     ;10:50;     ;     ;12:24;12:13;     ;12:38;12:53;13:29;13:32;14:08;     ;14:51;15:20;16:17;16:18;     ;16:52;17:17;17:23;17:53;18:21;18:46;19:19;19:52;20:22
Les Hauts de Malissol     ;6:54;    ;    ;    ;7:44;8:19;8:36;9:17;     ;10:51;     ;     ;     ;12:13;     ;12:39;12:53;     ;13:33;14:09;     ;14:52;15:20;16:18;16:19;     ;16:52;     ;17:24;17:54;18:22;18:47;19:20;19:53;20:22
Les Hameaux de Malissol   ;6:55;    ;7:10;7:29;7:45;8:20;8:36;9:17;     ;10:51;     ;     ;     ;12:14;     ;12:40;12:54;13:31;13:33;14:09;     ;14:52;15:21;16:18;16:20;     ;16:53;     ;17:24;17:55;18:22;18:48;19:20;19:53;20:23
Malissol La Ferme         ;6:55;    ;7:10;7:29;7:45;8:21;8:37;9:18;     ;10:52;     ;     ;     ;12:14;     ;12:40;12:54;13:31;13:34;14:10;     ;14:53;15:21;16:19;16:21;     ;16:53;     ;17:25;17:56;18:23;18:49;19:21;19:54;20:23
L’Horloge                 ;6:57;    ;7:10;7:30;7:46;    ;8:38;9:19;     ;10:53;     ;     ;     ;12:17;     ;12:41;12:55;13:32;13:35;14:11;     ;14:54;15:22;16:19;16:22;     ;16:54;     ;17:26;17:57;18:24;18:50;19:21;19:55;20:24
Les Cèdres                ;7:01;    ;7:12;7:31;7:47;    ;8:39;9:20;     ;10:54;     ;     ;     ;12:22;     ;12:42;12:56;13:33;13:36;14:12;     ;14:55;15:23;16:20;16:23;     ;16:55;     ;17:27;17:58;18:25;18:51;19:21;19:56;20:25
Nicolas Chorier           ;    ;    ;    ;7:47;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:49;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Rond-Point Malissol       ;    ;    ;7:13;    ;7:48;    ;8:40;9:21;     ;10:55;     ;     ;     ;     ;     ;12:43;12:57;     ;13:37;14:13;     ;14:56;15:24;16:22;16:25;     ;16:56;     ;17:28;18:00;18:26;18:53;19:22;19:57;     
Malissol La Gère          ;    ;    ;    ;    ;7:53;    ;8:45;9:24;     ;10:58;     ;     ;     ;     ;     ;     ;     ;     ;13:40;14:16;     ;14:59;15:27;16:26;16:29;     ;17:01;     ;     ;     ;     ;     ;     ;     ;     
L'Abbaye                  ;    ;    ;7:13;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:43;12:57;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:28;     ;18:26;     ;     ;     ;     
Frèrejean                 ;    ;    ;7:15;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:44;12:58;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:29;     ;18:27;     ;     ;     ;     
Z.A. de Montplaisir Calor ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:44;12:58;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:29;     ;18:27;     ;     ;     ;     
Lycée E. Fitzgerald       ;    ;    ;7:49;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Estrablin Bréguet         ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:45;12:59;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:30;     ;18:28;     ;     ;     ;     
Tabourette Routier        ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:46;13:00;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:31;     ;18:29;     ;     ;     ;     
Estrablin le Pinay        ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:47;13:01;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:32;     ;18:30;     ;     ;     ;     
Perrière                  ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:49;13:03;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:34;     ;18:32;     ;     ;     ;     
Le Village                ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:50;13:04;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:35;     ;18:33;     ;     ;     ;     
Le Bois Balay             ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;12:55;17:40;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:38;     ;     ;     ;     ;     ;     
