Les Cèdres               ;7:01;    ;7:47;    ;9:20;    ;10:54;     ;12:22;     ;12:41;12:53;13:36;14:12;14:55;15:23;16:20;     ;16:55;17:20;17:58;18:21;18:48;19:21;19:56;20:25;
Rond-Point Malissol      ;    ;    ;7:48;    ;9:21;    ;10:55;     ;     ;     ;12:41;12:53;13:37;14:13;14:56;15:24;16:21;     ;16:56;17:20;18:00;18:22;18:49;19:22;19:57;     ;
Malissol La Gère         ;    ;    ;7:53;    ;9:24;    ;10:58;     ;     ;     ;     ;     ;13:40;14:16;14:59;15:27;16:26;     ;17:01;     ;     ;     ;     ;     ;     ;     ;
L'Abbaye                 ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:23;     ;     ;     ;     ;     ;
Frèrejean                ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:24;     ;     ;     ;     ;     ;
Z.A. de Montplaisir Calor;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:42;12:54;     ;     ;     ;     ;     ;     ;     ;17:21;18:24;     ;     ;     ;     ;     ;
Estrablin Bréguet        ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:43;12:55;     ;     ;     ;     ;     ;     ;     ;17:22;18:25;     ;     ;     ;     ;     ;
Tabourette Routier       ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:44;12:56;     ;     ;     ;     ;     ;     ;     ;17:23;18:28;     ;     ;     ;     ;     ;
Estrablin le Pinay       ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:45;12:57;     ;     ;     ;     ;     ;     ;     ;17:24;18:29;     ;     ;     ;     ;     ;
Perrière                 ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:47;12:59;     ;     ;     ;     ;     ;     ;     ;17:26;18:31;     ;     ;     ;     ;     ;
Le Village               ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:48;13:00;     ;     ;     ;     ;     ;     ;     ;17:27;18:33;     ;     ;     ;     ;     ;
Le Bois Balay            ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:53;     ;     ;     ;     ;     ;     ;     ;     ;17:32;18:34;     ;     ;     ;     ;     ;
