Saint Benoît                    ;6:05;6:37;6:59;7:11;7:30;8:10;8:38;    ;8:59;9:46 ;     ;11:11;     ;12:31;12:32;     ;     ;13:01;13:23;     ;13:55;14:25;15:13;15:41;16:55;16:35;16:55;17:11;17:28;17:44;18:15;     ;18:58
La Petite Rente                 ;6:06;6:38;7:00;7:12;7:31;8:11;8:39;    ;9:00;9:47 ;     ;11:12;     ;     ;12:33;     ;     ;13:02;13:24;     ;13:56;14:26;15:14;15:42;     ;16:36;16:56;17:12;17:29;     ;18:16;     ;18:59
La Passardière                  ;6:06;6:38;7:00;7:13;7:33;8:12;8:40;    ;9:01;9:47 ;     ;11:12;     ;     ;12:34;     ;     ;13:02;13:24;     ;13:56;14:26;15:14;15:42;     ;16:36;16:56;17:12;17:29;     ;18:17;     ;18:59
L'Octroi                        ;6:07;6:39;7:01;7:14;7:34;8:13;8:41;    ;9:02;9:48 ;     ;11:13;     ;     ;12:35;     ;     ;13:03;13:25;     ;13:57;14:27;15:15;15:43;     ;16:37;16:57;17:13;17:30;     ;18:18;     ;19:00
Les Tupinières                  ;6:08;6:40;7:02;7:15;7:35;8:14;8:41;    ;9:03;9:49 ;     ;11:14;     ;     ;12:36;     ;     ;13:04;13:26;     ;13:58;14:28;15:16;15:44;     ;16:38;16:58;17:14;17:31;     ;18:19;     ;19:01
Les Célestes                    ;6:08;6:40;7:02;7:16;7:36;8:15;8:42;    ;9:04;9:49 ;     ;11:14;     ;     ;12:37;     ;     ;13:04;13:26;     ;13:58;14:28;15:16;15:44;     ;16:38;16:58;17:14;17:31;     ;18:20;     ;19:01
Gare de Vienne A                ;6:13;6:45;7:07;7:21;7:43;8:23;8:49;    ;9:12;9:54 ;     ;11:19;     ;     ;12:45;     ;     ;13:09;13:31;     ;14:03;14:33;15:21;15:49;     ;16:43;17:03;17:19;17:36;     ;18:28;     ;19:06
Gare de Vienne D                ;    ;6:50;    ;7:24;    ;    ;    ;8:34;9:14;9:59 ;10:46;11:24;11:45;     ;12:47;     ;     ;13:14;     ;13:35;14:08;     ;15:25;15:54;     ;16:48;     ;17:24;17:40;     ;18:32;     ;19:11
Jardin de Ville                 ;    ;6:51;    ;7:26;    ;    ;    ;8:35;9:15;10:00;10:47;11:25;11:46;     ;12:48;     ;     ;13:15;     ;13:36;14:09;     ;15:27;15:55;     ;16:49;     ;17:25;17:41;     ;18:33;     ;19:12
Saint Maurice                   ;    ;6:52;    ;7:29;    ;    ;    ;8:37;9:16;10:01;10:48;11:26;11:47;     ;12:49;     ;     ;13:16;     ;13:37;14:10;     ;15:28;15:56;     ;16:51;     ;17:27;17:43;     ;18:34;     ;19:13
Jeu de Paume                    ;    ;6:53;    ;7:32;    ;    ;    ;8:39;9:17;10:02;10:49;11:27;11:48;     ;12:50;     ;     ;13:17;     ;13:38;14:11;     ;15:29;15:57;     ;16:53;     ;17:29;17:45;     ;18:35;     ;19:14
Tuilerie                        ;    ;6:54;    ;7:33;    ;    ;    ;8:40;9:18;10:03;10:50;11:28;11:49;     ;12:51;     ;     ;13:18;     ;13:39;14:12;     ;15:30;15:58;     ;16:54;     ;17:30;17:46;     ;18:36;     ;19:15
Les Portes de Lyon              ;    ;6:55;    ;7:34;    ;    ;    ;8:41;9:19;10:04;10:51;11:29;11:50;     ;12:52;     ;     ;13:19;     ;13:40;14:13;     ;15:31;15:59;     ;16:55;     ;17:31;17:47;     ;18:37;     ;19:16
Jean Jaurès                     ;    ;6:57;    ;7:36;    ;    ;    ;8:43;9:21;10:06;10:53;11:31;11:52;     ;12:54;     ;     ;13:21;     ;13:42;14:15;     ;15:33;16:01;     ;16:57;     ;17:33;17:49;     ;18:39;     ;19:18
Les Charavelles                 ;    ;6:58;    ;7:37;    ;    ;    ;8:44;9:22;10:07;10:54;11:32;11:53;     ;12:55;     ;     ;13:22;     ;13:43;14:16;     ;15:34;16:02;     ;16:58;     ;17:34;17:50;     ;18:40;     ;19:19
La Réclusière                   ;    ;6:58;    ;7:37;    ;    ;    ;8:44;9:22;10:07;10:54;11:32;11:53;     ;12:55;     ;     ;13:22;     ;13:43;14:16;     ;15:34;16:02;     ;16:58;     ;17:34;17:50;     ;18:40;     ;19:19
Bon Accueil                     ;    ;6:59;    ;7:38;    ;    ;    ;8:45;9:23;10:08;10:55;11:33;11:54;     ;12:56;     ;     ;13:23;     ;13:44;14:17;     ;15:35;16:03;     ;16:59;     ;17:35;17:51;     ;18:41;     ;19:20
Collège Grange                  ;    ;7:04;    ;7:42;    ;    ;    ;8:51;9:28;10:13;11:00;11:38;11:59;     ;13:01;     ;     ;13:28;     ;13:49;14:22;     ;15:40;16:08;     ;17:05;     ;17:41;17:57;     ;18:47;     ;19:25
